iter	Passed	Remaining
0	1	1622
1	2	1156
2	4	1377
3	5	1327
4	6	1333
5	8	1364
6	8	1272
7	9	1213
8	11	1225
9	11	1175
10	12	1121
11	13	1075
12	13	1060
13	14	1045
14	15	1027
15	16	999
16	16	976
17	17	952
18	18	930
19	18	912
20	19	893
21	19	878
22	20	861
23	20	847
24	21	835
25	21	822
26	22	810
27	23	799
28	23	789
29	24	787
30	24	779
31	25	773
32	26	769
33	26	764
34	27	758
35	28	751
36	28	745
37	29	740
38	29	735
39	30	734
40	31	729
41	31	723
42	32	717
43	32	711
44	33	706
45	33	701
46	34	698
47	34	693
48	35	689
49	36	685
50	36	681
51	37	685
52	38	682
53	38	678
54	39	675
55	39	673
56	40	669
57	41	667
58	42	675
59	42	673
60	43	669
61	44	667
62	44	663
63	45	660
64	45	658
65	46	654
66	46	651
67	47	648
68	47	646
69	48	643
70	49	641
71	49	638
72	50	636
73	50	633
74	51	631
75	51	629
76	52	626
77	52	625
78	53	623
79	54	621
80	54	619
81	55	617
82	55	615
83	56	613
84	56	611
85	57	609
86	57	607
87	58	605
88	58	603
89	59	601
90	60	600
91	60	597
92	60	592
93	61	590
94	61	588
95	62	587
96	62	585
97	63	583
98	63	581
99	64	580
100	64	578
101	65	576
102	66	575
103	67	580
104	67	578
105	68	576
106	68	575
107	69	573
108	69	571
109	70	570
110	71	568
111	71	567
112	72	565
113	72	564
114	73	562
115	73	561
116	74	559
117	74	558
118	75	556
119	75	555
120	76	554
121	76	552
122	77	551
123	77	550
124	78	549
125	79	548
126	79	546
127	80	545
128	80	544
129	81	543
130	82	546
131	82	545
132	83	544
133	84	542
134	84	541
135	85	540
136	85	539
137	86	538
138	86	537
139	87	536
140	87	534
141	88	533
142	88	532
143	89	531
144	89	530
145	90	528
146	91	528
147	91	527
148	92	526
149	92	524
150	93	523
151	93	522
152	94	521
153	94	520
154	95	519
155	95	517
156	96	516
157	96	515
158	97	514
159	97	513
160	98	513
161	99	512
162	99	511
163	100	510
164	100	509
165	101	508
166	101	507
167	102	506
168	102	505
169	103	505
170	103	504
171	104	502
172	104	501
173	105	500
174	105	499
175	106	498
176	107	497
177	107	496
178	108	496
179	109	498
180	109	497
181	110	497
182	111	496
183	111	495
184	113	498
185	113	497
186	114	496
187	114	495
188	115	495
189	116	494
190	116	493
191	117	492
192	117	491
193	118	491
194	118	490
195	119	489
196	119	488
197	120	487
198	120	486
199	121	485
200	122	485
201	123	486
202	123	486
203	124	485
204	125	485
205	125	484
206	126	483
207	126	482
208	127	481
209	127	481
210	128	480
211	128	479
212	129	478
213	130	477
214	130	476
215	131	475
216	131	475
217	132	474
218	132	473
219	133	472
220	133	471
221	134	471
222	135	470
223	135	469
224	136	468
225	136	468
226	137	467
227	138	467
228	139	468
229	139	467
230	140	468
231	141	468
232	141	467
233	142	466
234	143	468
235	144	467
236	144	466
237	145	465
238	146	465
239	146	464
240	147	463
241	147	463
242	148	462
243	148	461
244	149	460
245	150	459
246	150	458
247	151	458
248	151	457
249	152	456
250	152	456
251	153	455
252	154	454
253	154	453
254	155	454
255	156	454
256	156	453
257	157	452
258	157	451
259	158	450
260	159	450
261	159	449
262	160	448
263	160	447
264	161	446
265	161	445
266	162	445
267	162	444
268	163	443
269	163	442
270	164	441
271	164	440
272	165	440
273	165	439
274	166	438
275	166	437
276	167	436
277	167	435
278	168	435
279	168	434
280	169	433
281	170	432
282	170	432
283	171	431
284	171	431
285	172	430
286	172	429
287	173	429
288	174	430
289	175	429
290	176	428
291	176	428
292	177	427
293	177	426
294	178	425
295	178	425
296	179	424
297	179	423
298	180	423
299	181	422
300	181	421
301	182	420
302	182	420
303	183	419
304	183	418
305	184	418
306	184	417
307	185	416
308	185	415
309	186	415
310	187	414
311	187	413
312	188	412
313	188	412
314	189	411
315	189	410
316	190	409
317	190	409
318	191	408
319	191	407
320	192	407
321	192	406
322	193	405
323	194	404
324	194	404
325	195	403
326	195	402
327	196	401
328	196	401
329	197	400
330	197	399
331	198	399
332	199	398
333	199	398
334	200	397
335	201	397
336	201	397
337	202	396
338	203	396
339	203	395
340	204	394
341	205	394
342	205	393
343	206	392
344	206	392
345	207	391
346	207	390
347	208	390
348	208	389
349	209	388
350	209	388
351	210	387
352	210	386
353	211	385
354	212	385
355	212	384
356	213	383
357	213	383
358	214	382
359	214	381
360	215	380
361	215	380
362	216	379
363	216	378
364	217	378
365	218	378
366	219	378
367	220	377
368	220	377
369	221	376
370	222	377
371	223	377
372	223	376
373	224	375
374	225	375
375	225	374
376	226	374
377	226	373
378	227	372
379	227	371
380	228	371
381	229	370
382	229	369
383	230	369
384	230	368
385	231	367
386	231	367
387	232	366
388	232	365
389	233	365
390	233	364
391	234	363
392	235	363
393	235	362
394	237	363
395	238	363
396	238	362
397	239	361
398	239	361
399	240	360
400	240	359
401	241	359
402	242	358
403	243	358
404	244	359
405	245	359
406	246	359
407	247	359
408	249	360
409	249	359
410	251	360
411	251	359
412	252	359
413	253	358
414	254	358
415	255	358
416	255	357
417	257	358
418	258	357
419	258	357
420	259	356
421	260	356
422	261	356
423	262	356
424	263	356
425	264	355
426	264	355
427	265	354
428	266	354
429	266	353
430	267	353
431	268	352
432	268	351
433	269	351
434	269	350
435	270	349
436	271	349
437	271	348
438	272	348
439	273	348
440	274	347
441	275	347
442	275	346
443	276	346
444	277	346
445	278	345
446	278	344
447	279	344
448	280	343
449	280	342
450	281	342
451	281	341
452	282	341
453	283	340
454	283	339
455	284	339
456	285	338
457	285	338
458	286	337
459	286	336
460	288	337
461	289	336
462	289	336
463	290	335
464	291	335
465	291	334
466	292	334
467	293	333
468	294	333
469	294	332
470	295	331
471	295	331
472	296	330
473	297	329
474	297	329
475	298	328
476	299	328
477	299	327
478	300	326
479	301	326
480	301	325
481	302	325
482	303	324
483	303	323
484	304	323
485	305	323
486	306	322
487	307	322
488	308	321
489	308	321
490	309	320
491	309	319
492	310	319
493	310	318
494	312	318
495	312	317
496	313	317
497	314	316
498	315	316
499	316	316
500	317	315
501	317	315
502	318	314
503	318	313
504	319	313
505	320	312
506	320	311
507	321	311
508	322	310
509	323	310
510	323	309
511	325	310
512	325	309
513	326	308
514	327	308
515	328	307
516	328	307
517	329	306
518	330	305
519	330	305
520	331	305
521	332	304
522	333	303
523	333	303
524	334	302
525	335	302
526	335	301
527	336	300
528	337	300
529	337	299
530	338	298
531	339	298
532	340	297
533	340	297
534	341	296
535	342	296
536	342	295
537	343	295
538	344	294
539	344	293
540	345	293
541	346	292
542	346	291
543	347	291
544	348	290
545	348	290
546	349	289
547	350	289
548	351	288
549	351	287
550	352	287
551	352	286
552	353	285
553	354	285
554	354	284
555	355	283
556	356	283
557	356	282
558	357	281
559	357	281
560	359	281
561	360	280
562	360	279
563	361	279
564	361	278
565	362	277
566	362	277
567	363	276
568	363	275
569	364	274
570	365	274
571	365	273
572	366	272
573	366	272
574	367	271
575	367	270
576	368	269
577	368	269
578	369	268
579	369	267
580	370	267
581	371	266
582	371	266
583	372	265
584	373	264
585	373	263
586	374	263
587	374	262
588	375	261
589	375	261
590	376	260
591	377	259
592	377	259
593	378	258
594	378	257
595	379	257
596	379	256
597	380	255
598	380	254
599	381	254
600	382	254
